Comment,Gopinath-num,Gopinath1896-img,Gopinath1914-img,Kosambi
,121,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-190.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-184.jpg,80
,122,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-191.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-185.jpg,117
,123,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-192.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-186.jpg,118
,124,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-193.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-187.jpg,127
,125,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-194.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-188.jpg,139
(continued),126,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-195.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-189.jpg,
,127,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-196.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-190.jpg,133
,128,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-197.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-191.jpg,130
,129,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-198.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-192.jpg,119
,130,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-199.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-193.jpg,132
,131,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-200.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-194.jpg,136
,132,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-201.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-195.jpg,84
,133,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-202.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-196.jpg,88
,134,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-203.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-197.jpg,131
,135,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-204.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-198.jpg,336
,136,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-205.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-199.jpg,121
,137,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-206.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-200.jpg,122
,138,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-207.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-201.jpg,116
,139,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-208.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-202.jpg,124
,140,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-209.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-203.jpg,123
,141,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-210.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-204.jpg,215
,142,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-211.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-205.jpg,128
,143,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-214.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-206.jpg,225
,144,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-215.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-207.jpg,273
,145,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-212.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-208.jpg,135
,146,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-213.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-209.jpg,274
,147,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-216.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-210.jpg,99
,148,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-217.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-211.jpg,111
,149,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-218.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-212.jpg,138
,150,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-219.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-213.jpg,271
,151,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-220.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-214.jpg,340
,152,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-221.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-215.jpg,98
,153,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-222.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-216.jpg,349
,154,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-223.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-217.jpg,134
,155,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-224.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-218.jpg,141
